iter	Passed	Remaining
0	81	81317
1	82	40922
2	82	27425
3	83	20667
4	83	16613
5	83	13907
6	84	11974
7	84	10525
8	85	9397
9	85	8493
10	86	7754
11	86	7142
12	87	6621
13	87	6175
14	88	5792
15	88	5459
16	89	5162
17	89	4898
18	90	4661
19	90	4447
20	91	4254
21	91	4078
22	92	3917
23	92	3770
24	93	3634
25	93	3508
26	94	3391
27	94	3284
28	95	3187
29	95	3097
30	96	3009
31	96	2927
32	97	2850
33	97	2776
34	98	2708
35	98	2642
36	99	2581
37	99	2522
38	100	2467
39	100	2414
40	101	2364
41	101	2316
42	102	2272
43	102	2230
44	103	2188
45	103	2148
46	104	2110
47	104	2074
48	105	2038
49	105	2005
50	105	1972
51	106	1941
52	106	1910
53	107	1881
54	107	1853
55	108	1826
56	108	1800
57	109	1777
58	110	1755
59	110	1732
60	111	1709
61	111	1687
62	111	1665
63	112	1644
64	112	1624
65	113	1604
66	113	1585
67	114	1563
68	114	1545
69	115	1528
70	115	1511
71	115	1495
72	116	1479
73	117	1465
74	117	1450
75	118	1435
76	118	1421
77	119	1407
78	119	1393
79	119	1379
80	120	1366
81	120	1353
82	121	1341
83	121	1328
84	122	1315
85	122	1304
86	123	1291
87	123	1282
88	124	1273
89	124	1262
90	125	1252
91	125	1241
92	126	1231
93	126	1221
94	127	1212
95	127	1203
96	128	1193
97	128	1184
98	129	1175
99	129	1166
100	130	1158
101	130	1148
102	131	1140
103	131	1133
104	132	1125
105	132	1117
106	132	1109
107	133	1101
108	133	1094
109	134	1086
110	134	1079
111	135	1072
112	135	1065
113	136	1058
114	136	1051
115	137	1044
116	137	1038
117	138	1032
118	138	1025
119	139	1020
120	139	1014
121	140	1009
122	140	1001
123	140	995
124	141	990
125	141	984
126	142	978
127	142	972
128	143	966
129	143	961
130	144	956
131	144	952
132	145	947
133	145	942
134	146	937
135	146	932
136	147	927
137	147	922
138	148	917
139	148	912
140	149	907
141	149	903
142	149	898
143	150	894
144	150	889
145	151	885
146	151	881
147	152	877
148	153	873
149	153	870
150	154	866
151	154	862
152	155	858
153	155	854
154	155	850
155	156	846
156	156	842
157	157	838
158	157	834
159	158	831
160	158	828
161	159	824
162	159	821
163	160	817
164	160	814
165	161	810
166	161	807
167	162	803
168	162	800
169	163	796
170	163	793
171	164	790
172	164	786
173	165	784
174	165	781
175	166	778
176	166	775
177	167	772
178	167	769
179	168	766
180	168	762
181	169	759
182	169	756
183	169	753
184	170	750
185	170	747
186	171	745
187	171	742
188	172	739
189	172	737
190	173	734
191	174	732
192	174	729
193	175	727
194	175	724
195	175	721
196	176	719
197	176	716
198	177	713
199	177	711
200	178	708
201	178	706
202	179	704
203	179	702
204	180	699
205	180	697
206	181	694
207	181	692
208	182	690
209	182	688
210	183	685
211	183	683
212	184	680
213	184	678
214	185	676
215	185	674
216	186	672
217	186	670
218	187	667
219	187	665
220	188	663
221	188	661
222	189	659
223	189	656
224	190	654
225	190	652
226	190	650
227	191	648
228	191	645
229	192	643
230	192	642
231	193	640
232	194	638
233	194	636
234	194	634
235	195	632
236	195	630
237	196	628
238	196	626
239	197	624
240	197	623
241	198	621
242	198	619
243	199	617
244	199	615
245	200	613
246	200	612
247	201	610
248	201	608
249	202	606
250	202	604
251	203	602
252	203	601
253	204	599
254	204	597
255	204	595
256	205	593
257	205	592
258	206	590
259	206	588
260	207	587
261	207	585
262	208	583
263	208	582
264	209	580
265	209	578
266	210	577
267	210	575
268	211	573
269	211	572
270	212	570
271	212	569
272	213	567
273	213	566
274	214	564
275	214	563
276	215	561
277	215	560
278	216	558
279	216	557
280	217	555
281	217	553
282	218	552
283	218	550
284	219	549
285	219	547
286	219	546
287	220	544
288	220	543
289	221	542
290	221	540
291	222	539
292	222	537
293	223	536
294	223	534
295	224	533
296	224	531
297	225	530
298	225	529
299	226	528
300	226	526
301	227	525
302	227	523
303	228	522
304	228	521
305	229	519
306	229	518
307	230	516
308	230	515
309	230	514
310	231	512
311	231	511
312	232	509
313	232	508
314	233	507
315	233	505
316	234	504
317	234	503
318	235	501
319	235	500
320	235	499
321	236	497
322	236	496
323	237	495
324	237	493
325	238	492
326	238	491
327	239	490
328	239	488
329	240	487
330	240	486
331	241	485
332	241	483
333	242	482
334	242	481
335	242	480
336	243	478
337	243	477
338	244	476
339	244	475
340	245	474
341	245	472
342	246	471
343	246	470
344	247	469
345	247	468
346	248	466
347	248	465
348	248	464
349	249	463
350	249	462
351	250	460
352	250	459
353	251	458
354	251	457
355	252	456
356	252	454
357	253	453
358	253	452
359	254	451
360	254	450
361	255	449
362	255	448
363	256	447
364	256	446
365	256	445
366	257	444
367	257	442
368	258	441
369	258	440
370	259	439
371	259	438
372	260	437
373	260	436
374	261	435
375	261	434
376	262	433
377	262	431
378	262	430
379	263	429
380	263	428
381	264	427
382	264	426
383	265	425
384	265	424
385	266	423
386	266	422
387	267	421
388	267	420
389	267	419
390	268	418
391	268	417
392	269	416
393	269	415
394	270	414
395	271	413
396	271	412
397	272	411
398	272	410
399	273	409
400	273	408
401	273	407
402	274	406
403	274	405
404	275	404
405	275	403
406	276	402
407	276	401
408	277	400
409	277	399
410	278	398
411	278	397
412	279	396
413	279	395
414	280	395
415	280	394
416	281	393
417	281	392
418	282	391
419	282	390
420	283	389
421	283	388
422	284	387
423	284	386
424	285	385
425	285	384
426	285	383
427	286	382
428	286	381
429	287	380
430	287	379
431	288	379
432	288	378
433	289	377
434	289	376
435	290	375
436	290	374
437	291	373
438	291	372
439	292	371
440	292	370
441	292	369
442	293	368
443	293	367
444	294	367
445	294	366
446	295	365
447	295	364
448	296	363
449	296	362
450	297	361
451	297	360
452	298	359
453	298	359
454	299	358
455	299	357
456	300	356
457	300	355
458	300	354
459	301	353
460	301	352
461	302	352
462	302	351
463	303	350
464	303	349
465	304	348
466	304	347
467	305	346
468	305	346
469	306	345
470	306	344
471	307	343
472	307	342
473	308	341
474	308	341
475	309	340
476	309	339
477	310	338
478	310	337
479	310	336
480	311	336
481	311	335
482	312	334
483	312	333
484	313	332
485	313	331
486	314	331
487	314	330
488	315	329
489	315	328
490	316	327
491	316	326
492	317	326
493	317	325
494	318	324
495	318	323
496	318	322
497	319	321
498	319	321
499	320	320
500	320	319
501	321	318
502	321	317
503	322	317
504	322	316
505	323	315
506	323	314
507	324	313
508	324	312
509	324	312
510	325	311
511	325	310
512	326	309
513	326	309
514	327	308
515	327	307
516	328	306
